course_id,course_number,professor,total_students,AP,A,AM,BP,B,BM,CP,C,CM,DP,D,DM,F,A_count,B_count,C_count,D_count,F_count,avg_gpa
AA 508,508,"Leahy, John F",16,2,1,7,6,0,0,0,0,0,0,0,0,0,10,6,0,0,0,3.606
AAA 321,321,"Davis, Howard P",24,0,9,4,3,5,2,1,0,0,0,0,0,0,13,10,1,0,0,3.475
AAA 321,321,"Miller, James Miller, James P",20,2,4,5,0,4,2,0,1,1,0,0,0,1,11,6,2,0,1,3.18
AAA 399,399,"Swanson, Jessica Gladstar Berg",15,0,6,2,7,0,0,0,0,0,0,0,0,0,8,7,0,0,0,3.633
AAA 408,408,"Khalsa, Ek Ongkar Kaur",19,6,3,1,1,0,0,3,1,1,0,0,0,3,10,1,5,0,3,2.821
AAA 608,608,"Lindner, Christoph Perrin",11,0,1,3,4,2,1,0,0,0,0,0,0,0,4,7,0,0,0,3.364
AAAP 410,410,"Matthews, Laurie Renee",12,0,3,3,4,1,1,0,0,0,0,0,0,0,6,6,0,0,0,3.5
AAAP 411,411,"Bell, Christopher Squibb",9,4,1,0,2,1,0,1,0,0,0,0,0,0,5,3,1,0,0,3.544
AAAP 510,510,"Heath, Kingston W",12,2,2,3,2,1,2,0,0,0,0,0,0,0,7,5,0,0,0,3.508
AAAP 510,510,"Matthews, Laurie Renee",36,7,17,7,4,0,1,0,0,0,0,0,0,0,31,5,0,0,0,3.828
AAAP 510,510,"Radivojevic, Suzana",9,4,4,1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,3.967
AAAP 510,510,"Randl, Chad Garrett",13,0,5,6,2,0,0,0,0,0,0,0,0,0,11,2,0,0,0,3.754
AAAP 510,510,"Ranzetta, Kirk Edwards",12,5,5,2,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,3.95
AAAP 510,510,"Sardell, Shannon Mical",15,0,10,3,0,1,1,0,0,0,0,0,0,0,13,2,0,0,0,3.787
AAAP 510,510,"Stuart, Patience Rose",8,2,2,1,2,1,0,0,0,0,0,0,0,0,5,3,0,0,0,3.662
AAAP 511,511,"Buckley, James Michael",54,3,22,14,9,3,2,0,1,0,0,0,0,0,39,14,1,0,0,3.665
AAAP 511,511,"Carter, Elizabeth Jean",12,2,4,2,0,2,0,0,2,0,0,0,0,0,8,2,2,0,0,3.45
AAAP 521,521,"Randl, Chad Garrett",24,0,7,12,5,0,0,0,0,0,0,0,0,0,19,5,0,0,0,3.704
AAAP 522,522,"Randl, Chad Garrett",26,0,13,12,0,1,0,0,0,0,0,0,0,0,25,1,0,0,0,3.823
AAAP 531,531,"Carter, Elizabeth Jean",11,2,5,0,0,1,2,0,1,0,0,0,0,0,7,3,1,0,0,3.491
AAAP 531,531,"Ranzetta, Kirk Edwards",12,0,6,1,0,5,0,0,0,0,0,0,0,0,7,5,0,0,0,3.558
AAAP 538,538,"Radivojevic, Suzana",9,1,3,3,2,0,0,0,0,0,0,0,0,0,7,2,0,0,0,3.744
AAAP 551,551,"Minor, Kristen",24,3,12,4,3,1,0,0,1,0,0,0,0,0,19,4,1,0,0,3.737
AAAP 551,551,"Randl, Chad Garrett",12,0,6,6,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,3.85
