term_code,term,course_id,course_number,professor,total_students,AP,A,AM,BP,B,BM,CP,C,CM,DP,D,DM,F,A_count,B_count,C_count,D_count,F_count,avg_gpa
201501,Fall 2015,AA 508,508,"Leahy, John F",16,2,1,7,6,0,0,0,0,0,0,0,0,0,10,6,0,0,0,3.606
201501,Fall 2015,AAAP 510,510,"Sardell, Shannon Mical",15,0,10,3,0,1,1,0,0,0,0,0,0,0,13,2,0,0,0,3.787
201501,Fall 2015,AAAP 511,511,"Carter, Elizabeth Jean",12,2,4,2,0,2,0,0,2,0,0,0,0,0,8,2,2,0,0,3.45
201501,Fall 2015,AAD 199,199,"Abia-Smith, Lisa Marie",20,0,11,6,1,0,1,0,0,0,0,0,0,1,17,2,0,0,1,3.61
201501,Fall 2015,AAD 250,250,"Bretz, David Le Roy",39,0,26,4,1,2,2,0,0,2,0,0,0,2,30,5,2,0,2,3.51
201501,Fall 2015,AAD 250,250,"Gurley, Gregory C",37,0,25,8,1,0,2,1,0,0,0,0,0,0,33,3,1,0,0,3.8
201501,Fall 2015,AAD 250,250,"Tanenbaum, Elizabeth Ann",39,0,21,8,4,2,3,0,0,0,0,0,0,1,29,9,0,0,1,3.613
201501,Fall 2015,AAD 250,250,"Turner, David Graves",81,0,43,11,8,12,5,0,2,0,0,0,0,0,54,25,2,0,0,3.612
201501,Fall 2015,AAD 251,251,"Bretz, David Le Roy",39,0,23,5,3,2,0,0,2,2,1,0,0,1,28,5,4,1,1,3.464
201501,Fall 2015,AAD 251,251,"Bukowski, Michael Alan",35,0,17,10,4,3,0,0,1,0,0,0,0,0,27,7,1,0,0,3.691
201501,Fall 2015,AAD 251,251,"Gurley, Gregory C",74,0,45,10,4,7,0,3,3,1,0,0,1,0,55,11,7,1,0,3.601
201501,Fall 2015,AAD 251,251,"Voelker-Morris, Robert Jack",24,0,5,3,0,5,3,2,2,3,0,0,0,1,8,8,7,0,1,2.829
201501,Fall 2015,AAD 252,252,"Tanenbaum, Elizabeth Ann",40,0,22,10,2,2,3,0,1,0,0,0,0,0,32,7,1,0,0,3.692
201501,Fall 2015,AAD 252,252,"Voelker-Morris, Julie Louise",95,0,15,27,13,12,10,3,6,4,0,2,0,3,42,35,13,2,3,3.089
201501,Fall 2015,AAD 312,312,"Redaelli, Eleonora",34,0,22,8,1,1,0,1,0,0,0,0,0,1,30,2,1,0,1,3.712
201501,Fall 2015,AAD 430,430,"Ballard, Catherine Marie",19,0,9,2,2,5,0,0,1,0,0,0,0,0,11,7,1,0,0,3.526
201501,Fall 2015,AAD 612,612,"Lambert, Patricia Dewey",19,0,7,7,5,0,0,0,0,0,0,0,0,0,14,5,0,0,0,3.705
201501,Fall 2015,ACTG 211,211,"Brandt, Peter M",51,1,2,4,4,4,12,8,7,8,0,1,0,0,7,20,23,1,0,2.576
201501,Fall 2015,ACTG 211,211,"Dolan, Shannon Marie",106,3,20,1,3,35,0,3,23,10,0,6,0,2,24,38,36,6,2,2.703
201501,Fall 2015,ACTG 211,211,"Guenther, David Alexander",45,3,7,0,6,7,7,0,5,6,0,1,0,3,10,20,11,1,3,2.687
201501,Fall 2015,ACTG 211,211,"Krieg, Kimberly Susan",55,3,6,2,7,6,5,8,7,10,0,0,0,1,11,18,25,0,1,2.68
201501,Fall 2015,ACTG 211,211,"Roth, Courtney Spear",56,1,5,2,10,7,7,7,12,5,0,0,0,0,8,24,24,0,0,2.73
201501,Fall 2015,ACTG 211,211,"Sneed, Joel Jerome",53,2,3,0,11,5,12,6,8,3,0,0,0,3,5,28,17,0,3,2.615
201501,Fall 2015,ACTG 211,211,"Tomcal, Michael Paul",38,3,5,3,2,8,0,4,5,4,0,2,0,2,11,10,13,2,2,2.676
201501,Fall 2015,ACTG 213,213,"Sneed, Joel Jerome",139,4,17,12,25,16,14,13,15,21,1,0,0,1,33,55,49,1,1,2.832
201501,Fall 2015,ACTG 340,340,"Brandt, Peter M",43,3,1,0,5,2,8,6,14,3,0,0,0,1,4,15,23,0,1,2.488
201501,Fall 2015,ACTG 350,350,"Davis, Angela Kay",89,2,14,5,6,21,15,4,13,5,0,2,2,0,21,42,22,4,0,2.842
201501,Fall 2015,ACTG 350,350,"Sneed, Joel Jerome",42,0,10,5,7,4,4,4,2,2,0,0,0,4,15,15,8,0,4,2.881
201501,Fall 2015,ACTG 352,352,"Wilson, Ryan James",94,4,14,9,9,20,13,9,6,7,0,3,0,0,27,42,22,3,0,2.954
201501,Fall 2015,ACTG 440,440,"Darling, Bruce L",30,0,9,0,3,15,1,2,0,0,0,0,0,0,9,19,2,0,0,3.273
201501,Fall 2015,ACTG 470,470,"Tomcal, Michael Paul",81,0,4,6,17,20,8,11,11,1,0,2,0,1,10,45,23,2,1,2.801
