course_id,course_number,total_students,AP,A,AM,BP,B,BM,CP,C,CM,DP,D,DM,F,A_count,B_count,C_count,D_count,F_count,avg_gpa
AA 508,508,16,2,1,7,6,0,0,0,0,0,0,0,0,0,10,6,0,0,0,3.606
AAA 321,321,44,2,13,9,3,9,4,1,1,1,0,0,0,1,24,16,3,0,1,3.341
AAA 399,399,15,0,6,2,7,0,0,0,0,0,0,0,0,0,8,7,0,0,0,3.633
AAA 408,408,19,6,3,1,1,0,0,3,1,1,0,0,0,3,10,1,5,0,3,2.821
AAA 608,608,11,0,1,3,4,2,1,0,0,0,0,0,0,0,4,7,0,0,0,3.364
AAAP 410,410,12,0,3,3,4,1,1,0,0,0,0,0,0,0,6,6,0,0,0,3.5
AAAP 411,411,9,4,1,0,2,1,0,1,0,0,0,0,0,0,5,3,1,0,0,3.544
AAAP 510,510,105,20,45,23,10,3,4,0,0,0,0,0,0,0,88,17,0,0,0,3.79
AAAP 511,511,66,5,26,16,9,5,2,0,3,0,0,0,0,0,47,16,3,0,0,3.626
AAAP 521,521,24,0,7,12,5,0,0,0,0,0,0,0,0,0,19,5,0,0,0,3.704
AAAP 522,522,26,0,13,12,0,1,0,0,0,0,0,0,0,0,25,1,0,0,0,3.823
AAAP 531,531,23,2,11,1,0,6,2,0,1,0,0,0,0,0,14,8,1,0,0,3.526
AAAP 538,538,9,1,3,3,2,0,0,0,0,0,0,0,0,0,7,2,0,0,0,3.744
AAAP 551,551,36,3,18,10,3,1,0,0,1,0,0,0,0,0,31,4,1,0,0,3.775
AAD 199,199,32,2,16,6,2,2,1,0,0,2,0,0,0,1,24,5,2,0,1,3.528
AAD 250,250,1550,0,933,252,110,123,48,14,28,12,5,2,1,22,1185,281,54,8,22,3.641
AAD 251,251,1328,11,740,221,93,87,48,27,35,27,6,4,3,26,972,228,89,13,26,3.548
AAD 252,252,1065,0,350,260,107,109,95,35,34,25,5,6,7,32,610,311,94,18,32,3.293
AAD 301,301,302,0,125,56,23,24,23,14,12,9,1,4,2,9,181,70,35,7,9,3.296
AAD 312,312,184,0,96,43,21,9,5,4,1,2,0,1,0,2,139,35,7,1,2,3.633
AAD 315,315,71,0,28,21,10,8,2,1,0,0,0,0,0,1,49,20,1,0,1,3.583
AAD 410,410,37,0,21,9,1,1,1,1,1,1,0,0,0,1,30,3,3,0,1,3.576
AAD 420,420,51,1,26,11,4,2,4,2,0,0,1,0,0,0,38,10,2,1,0,3.62
AAD 421,421,30,0,5,7,3,8,1,1,0,2,1,1,1,0,12,12,3,3,0,3.04
AAD 425,425,13,2,4,0,2,2,2,0,0,0,0,0,0,1,6,6,0,0,1,3.231
AAD 430,430,186,0,60,48,36,21,9,6,1,1,0,1,0,3,108,66,8,1,3,3.453
AAD 434,434,21,0,10,1,4,3,1,2,0,0,0,0,0,0,11,8,2,0,0,3.486
AAD 510,510,28,14,9,1,1,0,0,1,1,0,0,1,0,0,24,1,2,1,0,3.725
AAD 612,612,39,0,21,13,5,0,0,0,0,0,0,0,0,0,34,5,0,0,0,3.81
ACTG 211,211,8875,243,779,843,1050,1340,1075,942,1220,796,23,337,6,221,1865,3465,2958,366,221,2.696
ACTG 213,213,6990,198,820,799,861,1204,897,693,627,497,64,160,28,142,1817,2962,1817,252,142,2.841
ACTG 340,340,1962,50,285,242,276,488,200,155,169,57,5,21,2,12,577,964,381,28,12,3.043
ACTG 350,350,1802,103,212,270,275,309,197,137,142,89,1,21,2,44,585,781,368,24,44,2.996
ACTG 351,351,1402,54,256,170,186,259,146,122,138,50,1,12,0,8,480,591,310,13,8,3.073
ACTG 352,352,1310,51,249,148,163,235,145,96,95,72,0,42,0,14,448,543,263,42,14,3.021
