course_id,course_number,professor,total_students,AP,A,AM,BP,B,BM,CP,C,CM,DP,D,DM,F,A_count,B_count,C_count,D_count,F_count,avg_gpa
CIS 102,102,"Li, Yingjiu",25,0,3,3,0,3,8,2,0,3,0,0,0,3,6,11,5,0,3,2.536
CIS 105,105,"Fickas, Stephen F",59,36,10,3,1,3,2,1,0,0,0,0,0,3,49,6,1,0,3,3.646
CIS 110,110,"Colbert, Phillip Dean",1258,136,381,230,115,134,112,39,35,30,11,5,3,27,747,361,104,19,27,3.366
CIS 110,110,"Flores, Juan Jose",260,4,33,17,35,32,51,23,20,12,8,6,4,15,54,118,55,18,15,2.664
CIS 110,110,"Fuller, Elizabeth Pearl Ann",22,10,2,1,1,2,2,2,1,0,0,1,0,0,13,5,3,1,0,3.364
CIS 110,110,"Gowda, Nithin Krishna",32,1,17,5,1,1,1,2,4,0,0,0,0,0,23,3,6,0,0,3.503
CIS 110,110,"Hennessy, Michael Shane",1202,105,295,63,68,320,62,49,155,29,4,15,4,33,463,450,233,23,33,3.061
CIS 110,110,"Hu, Zhangxiang",33,5,12,3,3,5,1,1,1,1,0,0,0,1,20,9,3,0,1,3.415
CIS 110,110,"Little, Ronald Kent",183,37,50,27,15,31,6,4,7,3,1,0,0,2,114,52,14,1,2,3.477
CIS 110,110,"Skorodinsky, Makseem Angel",19,1,8,2,2,2,3,0,1,0,0,0,0,0,11,7,1,0,0,3.479
CIS 110,110,"Wilkins, David A",392,57,218,25,12,26,12,0,9,7,0,6,2,18,300,50,16,8,18,3.52
CIS 110,110,"Zhang, Mingwei",41,8,11,0,0,11,0,0,7,0,0,3,0,1,19,11,7,3,1,3.073
CIS 111,111,"Bird, Brian Arnett",89,9,13,10,22,5,6,11,5,2,1,0,0,5,32,33,18,1,5,3.02
CIS 111,111,"Colbert, Phillip Dean",298,44,45,61,34,34,30,14,10,5,0,7,1,13,150,98,29,8,13,3.172
CIS 111,111,"Flores, Juan Jose",248,33,26,34,15,29,21,13,18,12,4,6,0,37,93,65,43,10,37,2.631
CIS 111,111,"Hennessy, Michael Shane",923,122,226,47,41,229,43,33,108,30,6,10,0,28,395,313,171,16,28,3.104
CIS 111,111,"Holleran, Pat",193,6,32,24,0,60,19,0,28,5,0,8,1,10,62,79,33,9,10,2.825
CIS 111,111,"Little, Ronald Kent",539,109,154,51,29,71,32,22,39,6,2,8,2,14,314,132,67,12,14,3.315
CIS 111,111,"Skorodinsky, Makseem Angel",249,27,35,20,18,40,22,9,27,19,1,10,4,17,82,80,55,15,17,2.739
CIS 115,115,"Colbert, Phillip Dean",173,25,24,22,14,24,21,11,10,5,6,4,0,7,71,59,26,10,7,2.994
CIS 122,122,"Colbert, Phillip Dean",840,76,272,113,72,95,52,25,45,21,8,13,10,38,461,219,91,31,38,3.198
CIS 122,122,"Corso, Amie Jayne",34,8,6,6,2,5,2,0,1,3,0,0,0,1,20,9,4,0,1,3.303
CIS 122,122,"Flores, Juan Jose",148,7,36,23,19,12,11,7,9,2,2,3,2,15,66,42,18,7,15,2.905
CIS 122,122,"Foster, Raleigh Francis",21,9,8,1,1,0,2,0,0,0,0,0,0,0,18,3,0,0,0,3.829
CIS 122,122,"Freeman Hennessy, Kathleen",366,9,74,32,23,54,35,27,36,18,1,18,4,35,115,112,81,23,35,2.649
CIS 122,122,"Guzman Nateras, Luis Fernando",50,6,10,14,10,4,1,0,0,0,0,0,1,4,30,15,0,1,4,3.284
CIS 122,122,"Hall, Jared Wayne",10,4,2,1,0,2,0,1,0,0,0,0,0,0,7,2,1,0,0,3.6
CIS 122,122,"Shahir, Bijan Yaghoubi",100,16,12,12,17,15,8,5,0,5,1,3,2,4,40,40,10,6,4,3.048
CIS 122,122,"Skorodinsky, Makseem Angel",13,4,1,1,0,2,0,0,1,2,0,1,0,1,6,2,3,1,1,2.777
CIS 122,122,"Wilkins, David A",1031,77,404,107,66,113,69,32,68,31,2,18,10,34,588,248,131,30,34,3.252
CIS 199,199,"Matthews, Kelli Irene",209,69,64,21,16,20,4,3,6,0,0,2,0,4,154,40,9,2,4,3.609
CIS 199,199,"Wilkins, David A",92,11,39,12,9,7,7,2,2,1,0,0,1,1,62,23,5,1,1,3.533
CIS 199,199,"Wu, Yanwei",8,1,2,0,0,3,0,0,0,0,0,0,0,2,3,3,0,0,2,2.625
CIS 210,210,"Erickson, Brittany Angela",270,5,66,22,48,33,30,23,10,6,8,5,0,14,93,111,39,13,14,2.971
CIS 210,210,"Flores, Juan Jose",116,42,26,9,11,9,5,1,1,2,0,1,0,9,77,25,4,1,9,3.369
CIS 210,210,"Freeman Hennessy, Kathleen",1038,22,164,69,74,196,97,50,129,45,16,53,20,103,255,367,224,89,103,2.534
CIS 210,210,"Norris, Boyana Radenska",140,91,16,7,5,3,2,1,3,2,1,0,2,7,114,10,6,3,7,3.566
CIS 210,210,"Sventek, Joseph Sherman",233,4,18,26,22,33,35,33,20,18,9,7,3,5,48,90,71,19,5,2.651
CIS 211,211,"Conery, John",285,2,86,23,14,61,39,13,24,10,0,10,1,2,111,114,47,11,2,3.078
CIS 211,211,"Hornof, Anthony J",52,8,3,4,2,7,7,6,5,0,0,5,0,5,15,16,11,5,5,2.579
CIS 211,211,"Norris, Boyana Radenska",105,23,36,9,8,11,8,1,5,0,0,0,0,4,68,27,6,0,4,3.453
CIS 211,211,"Young, Michal Terry",797,35,306,46,62,110,31,0,125,19,0,24,0,39,387,203,144,24,39,3.085
CIS 212,212,"Childs, Henry Roberts",242,14,57,31,24,31,26,8,13,10,0,11,0,17,102,81,31,11,17,2.948
CIS 212,212,"Jiao, Lei",283,42,16,17,31,28,42,19,18,10,17,13,8,22,75,101,47,38,22,2.587
CIS 212,212,"Sventek, Joseph Sherman",392,61,102,48,50,41,33,10,10,9,2,3,3,20,211,124,29,8,20,3.247
CIS 212,212,"Wills, Eric David",232,14,42,34,28,31,28,12,13,3,3,6,5,13,90,87,28,14,13,2.944
CIS 313,313,"Lowd, Daniel Baruch",263,10,46,39,36,49,29,15,22,3,2,1,3,8,95,114,40,6,8,3.048
CIS 313,313,"Nguyen, Thien Huu",235,8,41,34,52,41,29,12,14,0,1,0,0,3,83,122,26,1,3,3.198
CIS 313,313,"Proskurowski, Andrzej",64,1,11,5,0,6,12,10,12,3,0,2,0,2,17,18,25,2,2,2.672
CIS 313,313,"Sventek, Joseph Sherman",78,4,3,7,5,12,15,12,10,5,3,2,0,0,14,32,27,5,0,2.678
CIS 313,313,"Wilson, Christopher",81,4,18,11,6,15,6,3,5,7,0,4,0,2,33,27,15,4,2,2.994
CIS 313,313,"Wu, Xiaodi",191,9,29,23,28,22,20,22,18,13,7,0,0,0,61,70,53,7,0,2.97
CIS 314,314,"Kinsy, Michel Ako",75,8,27,7,6,7,5,1,5,0,0,6,0,3,42,18,6,6,3,3.18
CIS 314,314,"Wills, Eric David",823,50,182,124,121,101,97,40,30,32,1,4,5,36,356,319,102,10,36,3.118
CIS 315,315,"Jiao, Lei",175,4,21,18,22,32,28,18,9,11,3,3,5,1,43,82,38,11,1,2.853
CIS 315,315,"Wilson, Christopher",634,41,156,67,66,114,56,33,44,24,0,7,0,26,264,236,101,7,26,3.089
CIS 322,322,"Durairajan, Ramakrishnan",180,8,21,16,14,22,31,13,13,12,5,3,10,12,45,67,38,18,12,2.577
CIS 322,322,"Ellsworth, Daniel Abraham Solomon",31,0,14,6,2,2,4,0,2,1,0,0,0,0,20,8,3,0,0,3.461
CIS 322,322,"Shi, Honghui",31,12,7,2,2,0,0,1,1,0,2,1,0,3,21,2,2,3,3,3.158
CIS 322,322,"Young, Michal Terry",57,2,16,5,5,10,2,0,8,1,0,7,0,1,23,17,9,7,1,2.932
CIS 330,330,"Childs, Henry Roberts",183,20,39,19,13,29,8,3,14,2,1,4,0,31,78,50,19,5,31,2.74
CIS 330,330,"Choi, Jee Whan",340,40,36,29,40,45,37,29,29,18,7,7,3,20,105,122,76,17,20,2.799
CIS 330,330,"Norris, Boyana Radenska",257,54,65,16,36,20,15,13,15,8,2,1,1,11,135,71,36,4,11,3.239
CIS 333,333,"Li, Yingjiu",26,0,6,5,3,3,4,3,1,0,0,0,0,1,11,10,4,0,1,3.119
CIS 399,399,"Augustine, Charles Martel",100,15,21,9,11,11,6,4,4,5,2,5,3,4,45,28,13,10,4,2.982
CIS 399,399,"Bird, Brian Arnett",83,23,16,3,5,10,3,3,6,8,0,0,0,6,42,18,17,0,6,3.063
CIS 399,399,"Fickas, Stephen F",61,16,13,3,4,4,8,3,6,1,0,3,0,0,32,16,10,3,0,3.238
CIS 399,399,"Li, Jun",15,0,1,7,2,1,2,2,0,0,0,0,0,0,8,5,2,0,0,3.3
CIS 399,399,"Li, Yingjiu",10,0,1,4,3,1,1,0,0,0,0,0,0,0,5,5,0,0,0,3.44
CIS 399,399,"Lowd, Daniel Baruch",15,0,1,1,3,2,2,0,1,3,0,1,0,1,2,7,4,1,1,2.473
CIS 399,399,"Sane, Sudhanshu Sanjay",15,0,6,3,0,2,4,0,0,0,0,0,0,0,9,6,0,0,0,3.46
CIS 399,399,"VanDevender, Steven E",66,0,31,15,5,9,3,0,0,1,0,0,0,2,46,17,1,0,2,3.527
CIS 399,399,"Young, Michal Terry",36,3,8,0,1,13,0,0,7,0,0,0,0,4,11,14,7,0,4,2.786
