term_code,term,course_id,course_number,professor,total_students,AP,A,AM,BP,B,BM,CP,C,CM,DP,D,DM,F,A_count,B_count,C_count,D_count,F_count,avg_gpa
201501,Fall 2015,CIS 110,110,"Hennessy, Michael Shane",169,17,47,11,12,47,4,3,19,4,0,3,1,1,75,63,26,4,1,3.216
201501,Fall 2015,CIS 111,111,"Hennessy, Michael Shane",88,19,23,5,5,20,3,2,6,4,0,1,0,0,47,28,12,1,0,3.358
201501,Fall 2015,CIS 111,111,"Holleran, Pat",96,1,17,10,0,32,11,0,10,4,0,4,1,6,28,43,14,5,6,2.773
201501,Fall 2015,CIS 122,122,"Wilkins, David A",128,10,34,19,6,20,12,6,10,2,0,4,2,3,63,38,18,6,3,3.134
201501,Fall 2015,CIS 210,210,"Sventek, Joseph Sherman",109,1,6,10,8,17,20,20,8,8,4,2,1,4,17,45,36,7,4,2.568
201501,Fall 2015,CIS 212,212,"Wills, Eric David",83,6,18,15,11,11,8,4,1,0,1,2,2,4,39,30,5,5,4,3.112
201501,Fall 2015,CIS 313,313,"Lowd, Daniel Baruch",62,0,11,8,6,12,9,7,5,0,1,1,1,1,19,27,12,3,1,2.948
201501,Fall 2015,CIS 314,314,"Kinsy, Michel Ako",75,8,27,7,6,7,5,1,5,0,0,6,0,3,42,18,6,6,3,3.18
201501,Fall 2015,CIS 399,399,"Young, Michal Terry",24,2,6,0,1,7,0,0,5,0,0,0,0,3,8,8,5,0,3,2.762
201501,Fall 2015,CIS 410,410,"Augustine, Charles Martel",10,1,2,0,0,1,4,0,1,1,0,0,0,0,3,5,2,0,0,2.95
201501,Fall 2015,CIS 410,410,"Childs, Henry Roberts",21,3,6,4,2,1,2,1,2,0,0,0,0,0,13,5,3,0,0,3.433
201501,Fall 2015,CIS 415,415,"Malony, Allen",64,0,7,5,5,10,5,5,10,9,3,1,3,1,12,20,24,7,1,2.505
201501,Fall 2015,CIS 420,420,"Wilson, Christopher",26,1,6,1,2,5,6,1,3,1,0,0,0,0,8,13,5,0,0,3.058
201501,Fall 2015,CIS 422,422,"Faulk, Stuart",31,0,1,6,10,4,4,1,3,1,0,0,0,1,7,18,5,0,1,2.968
201501,Fall 2015,CIS 432,432,"Rejaie, Reza",22,2,4,2,5,2,2,3,1,0,0,1,0,0,8,9,4,1,0,3.145
201501,Fall 2015,CIS 443,443,"Hornof, Anthony J",17,0,1,4,1,6,2,1,1,0,0,1,0,0,5,9,2,1,0,2.988
201501,Fall 2015,CIS 451,451,"Wilson, Christopher",43,3,18,5,3,9,1,1,2,1,0,0,0,0,26,13,4,0,0,3.491
201501,Fall 2015,CIS 471,471,"Dou, Dejing",20,1,7,1,3,3,1,0,0,0,0,3,0,1,9,7,0,3,1,3.015
201501,Fall 2015,CIS 510,510,"Childs, Henry Roberts",8,2,4,0,1,0,0,0,1,0,0,0,0,0,6,1,1,0,0,3.662
201501,Fall 2015,CIS 571,571,"Dou, Dejing",12,2,2,3,3,1,0,0,0,0,0,0,0,1,7,4,0,0,1,3.333
201501,Fall 2015,CIS 624,624,"Norris, Boyana Radenska",30,21,2,1,1,3,2,0,0,0,0,0,0,0,24,6,0,0,0,3.78
201502,Winter 2016,CIS 110,110,"Colbert, Phillip Dean",197,45,55,35,20,17,6,6,6,0,2,1,0,4,135,43,12,3,4,3.513
201502,Winter 2016,CIS 111,111,"Bird, Brian Arnett",89,9,13,10,22,5,6,11,5,2,1,0,0,5,32,33,18,1,5,3.02
201502,Winter 2016,CIS 111,111,"Hennessy, Michael Shane",82,10,18,3,2,24,8,1,10,3,0,1,0,2,31,34,14,1,2,3.07
201502,Winter 2016,CIS 115,115,"Colbert, Phillip Dean",41,13,8,3,3,7,2,1,3,0,0,0,0,1,24,12,4,0,1,3.407
201502,Winter 2016,CIS 122,122,"Wilkins, David A",110,9,35,5,10,18,9,5,9,6,0,3,1,0,49,37,20,4,0,3.175
201502,Winter 2016,CIS 210,210,"Freeman Hennessy, Kathleen",118,1,10,6,9,19,17,13,15,4,0,10,5,9,17,45,32,15,9,2.364
201502,Winter 2016,CIS 211,211,"Conery, John",90,1,25,10,7,13,9,6,13,5,0,1,0,0,36,29,24,1,0,3.074
201502,Winter 2016,CIS 313,313,"Wu, Xiaodi",67,3,8,10,11,8,8,5,7,6,1,0,0,0,21,27,18,1,0,2.984
201502,Winter 2016,CIS 314,314,"Wills, Eric David",62,4,12,6,8,6,8,3,4,8,0,0,1,2,22,22,15,1,2,2.926
201502,Winter 2016,CIS 315,315,"Wilson, Christopher",57,4,20,2,9,12,2,0,5,1,0,1,0,1,26,23,6,1,1,3.284
201502,Winter 2016,CIS 330,330,"Norris, Boyana Radenska",67,21,16,2,8,5,5,5,2,0,0,0,0,3,39,18,7,0,3,3.37
201502,Winter 2016,CIS 399,399,"Young, Michal Terry",12,1,2,0,0,6,0,0,2,0,0,0,0,1,3,6,2,0,1,2.833
201502,Winter 2016,CIS 422,422,"Faulk, Stuart",26,0,2,6,8,4,2,3,0,1,0,0,0,0,8,14,4,0,0,3.177
201502,Winter 2016,CIS 425,425,"Ariola, Zena",60,0,4,5,8,7,10,5,6,7,0,6,2,0,9,25,18,8,0,2.528
201502,Winter 2016,CIS 429,429,"Kinsy, Michel Ako",15,1,2,4,2,1,1,0,2,0,0,2,0,0,7,4,2,2,0,3.007
201502,Winter 2016,CIS 433,433,"Li, Jun",24,0,7,4,10,2,0,1,0,0,0,0,0,0,11,12,1,0,0,3.504
201502,Winter 2016,CIS 453,453,"Dou, Dejing",22,0,9,1,9,1,0,2,0,0,0,0,0,0,10,10,2,0,0,3.5
201502,Winter 2016,CIS 472,472,"Lowd, Daniel Baruch",15,1,3,1,2,2,0,1,0,1,1,1,0,2,5,4,2,2,2,2.573
201502,Winter 2016,CIS 490,490,"Farley, Arthur Melvin",27,0,5,6,10,6,0,0,0,0,0,0,0,0,11,16,0,0,0,3.452
201502,Winter 2016,CIS 572,572,"Lowd, Daniel Baruch",11,1,5,0,0,1,3,0,0,0,0,0,1,0,6,4,0,1,0,3.255
201502,Winter 2016,CIS 621,621,"Wilson, Christopher",27,3,14,6,1,0,3,0,0,0,0,0,0,0,23,4,0,0,0,3.763
201503,Spring 2016,CIS 110,110,"Colbert, Phillip Dean",191,46,34,27,20,30,15,8,5,1,1,0,0,4,107,65,14,1,4,3.392
201503,Spring 2016,CIS 111,111,"Holleran, Pat",97,5,15,14,0,28,8,0,18,1,0,4,0,4,34,36,19,4,4,2.877
201503,Spring 2016,CIS 111,111,"Skorodinsky, Makseem Angel",68,8,3,8,7,14,6,6,3,10,0,0,0,3,19,27,19,0,3,2.819
201503,Spring 2016,CIS 115,115,"Colbert, Phillip Dean",37,5,0,7,5,7,6,3,0,1,0,0,0,3,12,18,4,0,3,2.924
201503,Spring 2016,CIS 122,122,"Freeman Hennessy, Kathleen",80,2,16,6,4,6,11,8,12,5,1,1,4,4,24,21,25,6,4,2.639
201503,Spring 2016,CIS 211,211,"Hornof, Anthony J",52,8,3,4,2,7,7,6,5,0,0,5,0,5,15,16,11,5,5,2.579
201503,Spring 2016,CIS 212,212,"Wills, Eric David",91,5,16,14,14,11,8,8,6,3,0,1,3,2,35,33,17,4,2,3.024
201503,Spring 2016,CIS 315,315,"Wilson, Christopher",65,9,10,10,7,7,6,4,3,2,0,2,0,5,29,20,9,2,5,2.983
201503,Spring 2016,CIS 330,330,"Childs, Henry Roberts",65,6,16,6,7,2,4,2,6,2,1,2,0,11,28,13,10,3,11,2.668
201503,Spring 2016,CIS 410,410,"Lowd, Daniel Baruch",23,2,3,1,1,5,3,3,0,2,1,0,1,1,6,9,5,2,1,2.713
