course_id,course_number,total_students,AP,A,AM,BP,B,BM,CP,C,CM,DP,D,DM,F,A_count,B_count,C_count,D_count,F_count,avg_gpa
CIS 102,102,25,0,3,3,0,3,8,2,0,3,0,0,0,3,6,11,5,0,3,2.536
CIS 105,105,59,36,10,3,1,3,2,1,0,0,0,0,0,3,49,6,1,0,3,3.646
CIS 110,110,3442,364,1027,373,252,564,250,120,240,82,24,36,13,97,1764,1066,442,73,97,3.229
CIS 111,111,2539,350,531,247,159,468,173,102,235,79,14,49,8,124,1128,800,416,71,124,3.051
CIS 115,115,173,25,24,22,14,24,21,11,10,5,6,4,0,7,71,59,26,10,7,2.994
CIS 122,122,2613,216,825,310,210,302,180,97,160,82,14,56,29,132,1351,692,339,99,132,3.128
CIS 199,199,309,81,105,33,25,30,11,5,8,1,0,2,1,7,219,66,14,3,7,3.561
CIS 210,210,1797,164,290,133,160,274,169,108,163,73,34,66,25,138,587,603,344,125,138,2.749
CIS 211,211,1239,68,431,82,86,189,85,20,159,29,0,39,1,50,581,360,208,40,50,3.093
CIS 212,212,1149,131,217,130,133,131,129,49,54,32,22,33,16,72,478,393,135,71,72,2.96
CIS 313,313,912,36,148,119,127,145,111,74,81,31,13,9,3,15,303,383,186,25,15,3.008
CIS 314,314,898,58,209,131,127,108,102,41,35,32,1,10,5,39,398,337,108,16,39,3.123
CIS 315,315,809,45,177,85,88,146,84,51,53,35,3,10,5,27,307,318,139,18,27,3.038
CIS 322,322,299,22,58,29,23,34,37,14,24,14,7,11,10,16,109,94,52,28,16,2.797
CIS 330,330,780,114,140,64,89,94,60,45,58,28,10,12,4,62,318,243,131,26,62,2.93
CIS 333,333,26,0,6,5,3,3,4,3,1,0,0,0,0,1,11,10,4,0,1,3.119
CIS 399,399,401,57,98,45,34,53,29,12,24,18,2,9,3,17,200,116,54,14,17,3.132
CIS 410,410,556,39,214,102,68,64,21,14,14,10,2,0,3,5,355,153,38,5,5,3.497
CIS 413,413,92,12,20,10,13,10,10,1,6,3,0,2,0,5,42,33,10,2,5,3.112
CIS 415,415,636,17,98,62,83,108,81,60,48,39,10,10,6,14,177,272,147,26,14,2.883
CIS 420,420,101,5,30,7,12,15,13,6,5,4,0,3,0,1,42,40,15,3,1,3.16
CIS 422,422,628,20,114,122,110,118,46,43,29,9,0,6,0,11,256,274,81,6,11,3.196
CIS 423,423,36,6,13,5,1,7,2,0,1,1,0,0,0,0,24,10,2,0,0,3.553
CIS 425,425,714,21,84,61,101,119,63,55,69,61,1,50,2,27,166,283,185,53,27,2.699
CIS 427,427,21,0,3,2,8,5,2,0,0,1,0,0,0,0,5,15,1,0,0,3.233
CIS 429,429,15,1,2,4,2,1,1,0,2,0,0,2,0,0,7,4,2,2,0,3.007
CIS 431,431,44,0,9,6,8,7,5,3,2,4,0,0,0,0,15,20,9,0,0,3.109
CIS 432,432,143,5,12,15,21,33,21,14,6,8,2,1,1,4,32,75,28,4,4,2.871
CIS 433,433,207,4,36,63,60,27,10,2,1,0,1,1,0,2,103,97,3,2,2,3.42
CIS 436,436,27,0,10,7,4,2,3,0,0,0,0,0,0,1,17,9,0,0,1,3.452
CIS 441,441,114,14,50,10,14,11,1,3,5,1,0,0,0,5,74,26,9,0,5,3.452
CIS 443,443,84,7,5,12,13,12,12,10,6,4,0,1,0,2,24,37,20,1,2,2.935
CIS 445,445,12,0,0,2,2,1,4,1,0,0,1,0,0,1,2,7,1,1,1,2.617
CIS 451,451,269,10,140,42,30,28,8,5,4,1,0,1,0,0,192,66,10,1,0,3.651
CIS 452,452,17,0,9,3,2,3,0,0,0,0,0,0,0,0,12,5,0,0,0,3.688
CIS 453,453,46,2,13,9,15,3,0,2,0,0,1,1,0,0,24,18,2,2,0,3.45
CIS 454,454,19,2,13,2,0,1,0,0,1,0,0,0,0,0,17,1,1,0,0,3.811
CIS 471,471,248,4,68,45,61,28,19,7,4,3,1,5,1,2,117,108,14,7,2,3.336
CIS 472,472,188,8,43,31,26,31,16,8,9,6,2,1,0,7,82,73,23,3,7,3.143
CIS 473,473,66,1,10,5,11,10,9,7,3,5,1,0,0,4,16,30,15,1,4,2.803
CIS 490,490,27,0,5,6,10,6,0,0,0,0,0,0,0,0,11,16,0,0,0,3.452
CIS 510,510,27,7,7,5,2,3,1,0,2,0,0,0,0,0,19,6,2,0,0,3.585
CIS 531,531,15,1,8,2,1,1,1,0,0,0,0,0,0,1,11,3,0,0,1,3.493
CIS 533,533,11,0,3,3,4,0,0,0,0,0,0,0,0,1,6,4,0,0,1,3.3
