professor,courses_taught_count,courses_taught,total_students,A_count,B_count,C_count,D_count,F_count,avg_gpa
"Antoy, Sergio",1,CS 425,108,41,30,27,7,3,2.917
"Ariola, Zena",1,CS 425,204,54,84,47,6,13,2.784
"Balmain, Nathaniel Ryan",1,CS 399,28,27,0,0,1,0,3.893
"Carrere, Daniel Austin",2,CS 102; CS 410,679,493,122,37,10,17,3.567
"Chen, Jieyang",1,CS 212,77,33,36,5,2,1,3.273
"Childs, Henry Roberts",5,CS 110; CS 212; CS 441; CS 541; CS 607,602,254,218,78,27,25,3.078
"Choi, Jee Whan",3,CS 330; CS 431; CS 531,275,97,98,56,9,15,2.92
"Colbert, Phillip Dean",3,CS 111; CS 122; CS 212,1269,760,294,128,31,56,3.317
"Dario, Anthony Richard",1,CS 330,71,27,26,12,4,2,3.014
"Durairajan, Ramakrishnan",4,CS 322; CS 432; CS 630; CS 632,97,29,39,19,4,6,2.835
"Erickson, Brittany Angela",3,CS 210; CS 410; CS 445,95,32,28,18,4,13,2.653
"Fickas, Stephen F",1,CS 423,17,13,3,1,0,0,3.706
"Flores, Juan Jose",6,CS 110; CS 111; CS 210; CS 211; CS 422; CS 429,1518,530,585,266,63,74,2.945
"Freeman Hennessy, Kathleen",1,CS 122,456,144,147,98,35,32,2.737
"Gupta, Suyash",2,CS 451; CS 551,35,11,12,9,1,2,2.829
"Hall, Jared Wayne",1,CS 110,146,121,11,6,3,5,3.644
"Hassani, Ali",1,CS 322,30,16,8,3,2,1,3.2
"Hennessy, Michael Shane",1,CS 111,127,55,33,28,3,8,2.976
"Hornof, Anthony J",2,CS 422; CS 443,159,61,77,16,3,2,3.208
"Hou, Tao",2,CS 410; CS 621,40,19,14,6,1,0,3.275
"Jiao, Lei",2,CS 315; CS 621,252,79,102,57,10,4,2.96
"Johnson, Annaliese Hope",1,CS 399,10,7,0,1,0,2,3.0
"Lei, Yongjia",1,CS 102,144,124,17,2,1,0,3.833
"Li, Jun",5,CS 432; CS 433; CS 532; CS 533; CS 630,168,103,54,9,2,0,3.536
"Li, Yingjiu",4,CS 102; CS 333; CS 433; CS 436,310,149,120,35,2,4,3.316
"Lowd, Daniel Baruch",3,CS 313; CS 573; CS 670,307,109,126,58,1,13,3.033
"Malony, Allen",2,CS 415; CS 631,251,60,117,64,5,5,2.884
"McLaughlin, Joseph Clevenger",1,CS 330,83,39,36,8,0,0,3.373
"Miller, Dennis R",1,CS 399,33,22,10,1,0,0,3.636
"Nguyen, Thanh Hong",3,CS 315; CS 471; CS 571,192,86,75,23,4,4,3.224
"Nguyen, Thien Huu",5,CS 313; CS 410; CS 472; CS 510; CS 572,316,179,117,13,2,5,3.465
"Norris, Boyana Radenska",2,CS 322; CS 422,121,86,20,9,1,5,3.496
"Rejaie, Reza",1,CS 432,20,1,6,6,3,4,1.85
"Schwartz, Samuel David",1,CS 122,31,22,5,2,0,2,3.452
"Shi, Honghui",2,CS 322; CS 472,59,41,13,2,0,3,3.508
"Stewart, Lindy M",2,CS 111; CS 122,300,211,48,18,4,19,3.427
"Sventek, Joseph Sherman",1,CS 415,95,50,25,15,0,5,3.211
"Thuzar, Aye",3,CS 110; CS 111; CS 122,625,255,198,100,30,42,2.95
"Wang, Yu",2,CS 453; CS 510,36,36,0,0,0,0,4.0
"Wilkins, David A",1,CS 110,613,443,125,26,6,13,3.597
"Wills, Eric David",2,CS 314; CS 410,652,462,148,27,4,11,3.604
"Wilson, Christopher",7,CS 315; CS 413; CS 420; CS 451; CS 513; CS 551; CS 621,235,135,92,4,2,2,3.515
"Young, Michal Terry",2,CS 210; CS 211,820,303,284,186,29,18,3.006
